features,pm25
"[22.0,30.0,63.0,22.0,57.0,0.0,0.0,-27.0,58.67]",63.0
"[22.0,30.0,80.0,22.0,65.0,24.0,0.0,-35.0,84.67]",104.0
"[22.0,30.0,100.25404591644713,30.0,56.0,0.0,-8.0,-26.0,100.25]",100.25404591644713
"[22.0,30.0,176.0,20.0,56.0,-2.0,2.0,-26.0,174.33]",174.0
"[22.0,31.0,150.0,20.0,34.0,-2.0,2.0,-3.0,151.67]",148.0
"[22.0,32.0,25.0,24.0,50.0,1.0,-2.0,-18.0,26.0]",26.0
"[22.0,32.0,48.0,25.0,58.0,-8.0,-3.0,-26.0,52.33]",40.0
"[22.0,32.0,227.0,29.0,49.0,15.0,-7.0,-17.0,221.33]",242.0
"[22.0,33.0,105.0,25.0,64.0,9.0,-3.0,-31.0,106.67]",114.0
"[22.0,33.0,107.0,32.0,42.0,-17.0,-10.0,-9.0,105.33]",90.0
"[22.0,33.0,248.0,29.0,54.0,-58.0,-7.0,-21.0,191.33]",190.0
"[22.0,34.0,40.0,34.0,53.0,-3.0,-12.0,-19.0,40.0]",37.0
"[22.0,35.0,41.0,21.0,79.0,-4.0,1.0,-44.0,44.0]",37.0
"[22.0,36.0,55.0,34.0,47.0,4.0,-12.0,-11.0,54.0]",59.0
"[22.0,36.0,64.0,26.0,39.0,-8.0,-4.0,-3.0,63.67]",56.0
"[22.0,36.0,80.0,35.0,65.0,9.0,-13.0,-29.0,76.33]",89.0
"[22.0,36.0,121.0,32.0,45.0,33.0,-10.0,-9.0,116.33]",154.0
"[22.0,36.0,124.0,21.0,54.0,-22.0,1.0,-18.0,111.33]",102.0
"[22.0,37.0,65.0,21.0,55.0,1.0,1.0,-18.0,66.67]",66.0
"[22.0,37.0,174.0,29.0,49.0,27.0,-7.0,-12.0,189.0]",201.0
"[22.0,38.0,33.0,34.0,80.0,-11.0,-12.0,-42.0,31.67]",22.0
"[22.0,38.0,49.0,33.0,63.0,-17.0,-11.0,-25.0,37.0]",32.0
"[22.0,39.0,66.0,22.0,43.0,3.0,0.0,-4.0,67.33]",69.0
"[22.0,39.0,72.0,25.0,47.0,-6.0,-3.0,-8.0,70.33]",66.0
"[22.0,39.0,77.0,32.0,31.0,-5.0,-10.0,8.0,78.0]",72.0
"[22.0,39.0,94.0,21.0,33.0,-19.0,1.0,6.0,107.67]",75.0
"[22.0,39.0,99.0,30.0,44.0,1.0,-8.0,-5.0,97.0]",100.0
"[22.0,39.0,103.0,24.0,58.0,-27.0,-2.0,-19.0,102.33]",76.0
"[22.0,39.0,136.0,34.0,49.0,-16.0,-12.0,-10.0,128.67]",120.0
"[22.0,39.0,161.0,31.0,70.0,25.0,-9.0,-31.0,164.33]",186.0
"[22.0,39.0,176.0,26.0,57.0,-53.0,-4.0,-18.0,185.0]",123.0
"[22.0,40.0,26.0,33.0,57.0,27.0,-11.0,-17.0,34.0]",53.0
"[22.0,40.0,43.0,28.0,33.0,-2.0,-6.0,7.0,43.0]",41.0
"[22.0,40.0,44.0,22.0,61.0,10.0,0.0,-21.0,49.67]",54.0
"[22.0,40.0,51.0,28.0,56.0,-10.0,-6.0,-16.0,64.0]",41.0
"[22.0,40.0,56.0,20.0,70.0,7.0,2.0,-30.0,54.67]",63.0
"[22.0,40.0,160.0,21.0,54.0,6.0,1.0,-14.0,160.67]",166.0
"[22.0,41.0,44.0,26.0,55.0,2.0,-4.0,-14.0,42.33]",46.0
"[22.0,41.0,56.0,24.0,60.0,-3.0,-2.0,-19.0,58.67]",53.0
"[22.0,41.0,79.0,26.0,78.0,-5.0,-4.0,-37.0,76.67]",74.0
"[22.0,41.0,143.0,24.0,42.0,-3.0,-2.0,-1.0,143.67]",140.0
"[22.0,43.0,67.0,30.0,61.0,-1.0,-8.0,-18.0,67.67]",66.0
"[22.0,43.0,112.0,32.0,64.0,11.0,-10.0,-21.0,113.33]",123.0
"[22.0,44.0,47.0,24.0,66.0,-4.0,-2.0,-22.0,47.67]",43.0
"[22.0,44.0,59.0,27.0,41.0,21.0,-5.0,3.0,63.0]",80.0
"[22.0,44.0,64.0,25.0,62.0,-18.0,-3.0,-18.0,60.67]",46.0
"[22.0,44.0,88.0,28.0,61.0,-18.0,-6.0,-17.0,87.33]",70.0
"[22.0,45.0,17.0,22.0,79.0,0.0,0.0,-34.0,18.0]",17.0
"[22.0,45.0,58.0,34.0,71.0,-12.0,-12.0,-26.0,52.67]",46.0
"[22.0,45.0,112.0,24.0,74.0,-13.0,-2.0,-29.0,108.67]",99.0
"[22.0,46.0,61.0,21.0,45.0,8.0,1.0,1.0,62.0]",69.0
"[22.0,46.0,70.0,25.0,78.0,8.0,-3.0,-32.0,71.33]",78.0
"[22.0,46.0,333.0,33.0,59.0,-83.0,-11.0,-13.0,311.67]",250.0
"[22.0,47.0,99.0,29.0,73.0,1.0,-7.0,-26.0,100.67]",100.0
"[22.0,48.0,59.0,21.0,60.0,5.0,1.0,-12.0,56.67]",64.0
"[22.0,48.0,111.0,26.0,32.0,53.0,-4.0,16.0,121.33]",164.0
"[22.0,49.0,104.0,34.0,59.0,-3.0,-12.0,-10.0,91.33]",101.0
"[22.0,49.0,155.0,32.0,58.0,-18.0,-10.0,-9.0,155.33]",137.0
"[22.0,49.0,193.0,24.0,48.0,15.0,-2.0,1.0,198.0]",208.0
"[22.0,49.0,226.0,20.0,78.0,-62.0,2.0,-29.0,197.0]",164.0
"[22.0,50.0,42.0,26.0,30.0,8.0,-4.0,20.0,48.33]",50.0
"[22.0,50.0,153.0,32.0,64.0,-18.0,-10.0,-14.0,145.33]",135.0
"[22.0,50.0,158.0,22.0,44.0,9.0,0.0,6.0,173.0]",167.0
"[22.0,51.0,18.0,21.0,33.0,6.0,1.0,18.0,19.67]",24.0
"[22.0,51.0,46.0,33.0,78.0,-2.0,-11.0,-27.0,51.33]",44.0
"[22.0,51.0,58.0,30.0,31.0,-3.0,-8.0,20.0,64.67]",55.0
"[22.0,51.0,146.0,31.0,75.0,4.0,-9.0,-24.0,146.67]",150.0
"[22.0,52.0,36.0,33.0,30.0,20.0,-11.0,22.0,43.33]",56.0
"[22.0,53.0,26.0,23.0,67.0,-4.0,-1.0,-14.0,25.33]",22.0
"[22.0,53.0,42.0,27.0,55.0,14.0,-5.0,-2.0,54.67]",56.0
"[22.0,53.0,88.0,35.0,50.0,18.0,-13.0,3.0,92.67]",106.0
"[22.0,53.0,96.0,24.0,53.0,-13.0,-2.0,0.0,91.33]",83.0
"[22.0,53.0,100.25404591644713,26.0,69.0,0.0,-4.0,-16.0,100.25]",100.25404591644713
"[22.0,54.0,30.0,22.0,80.0,-8.0,0.0,-26.0,27.33]",22.0
"[22.0,54.0,64.0,29.0,71.0,2.0,-7.0,-17.0,73.67]",66.0
"[22.0,54.0,219.0,34.0,35.0,-4.0,-12.0,19.0,225.33]",215.0
"[22.0,55.0,66.0,27.0,32.0,-8.0,-5.0,23.0,63.67]",58.0
"[22.0,55.0,83.0,33.0,64.0,2.0,-11.0,-9.0,84.0]",85.0
"[22.0,55.0,275.0,34.0,43.0,-58.0,-12.0,12.0,279.0]",217.0
"[22.0,56.0,43.0,22.0,44.0,2.0,0.0,12.0,45.0]",45.0
"[22.0,56.0,69.0,22.0,46.0,4.0,0.0,10.0,67.67]",73.0
"[22.0,56.0,80.0,33.0,75.0,13.0,-11.0,-19.0,78.33]",93.0
"[22.0,56.0,84.0,27.0,33.0,13.0,-5.0,23.0,88.67]",97.0
"[22.0,57.0,29.0,26.0,68.0,21.0,-4.0,-11.0,35.67]",50.0
"[22.0,57.0,50.0,25.0,57.0,13.0,-3.0,0.0,57.0]",63.0
"[22.0,57.0,119.0,20.0,70.0,-35.0,2.0,-13.0,108.0]",84.0
"[22.0,57.0,138.0,35.0,80.0,7.0,-13.0,-23.0,144.0]",145.0
"[22.0,58.0,44.0,34.0,64.0,0.0,-12.0,-6.0,43.33]",44.0
"[22.0,58.0,128.0,34.0,70.0,17.0,-12.0,-12.0,126.67]",145.0
"[22.0,59.0,64.0,35.0,56.0,20.0,-13.0,3.0,69.67]",84.0
"[22.0,59.0,163.0,30.0,39.0,2.0,-8.0,20.0,152.33]",165.0
"[22.0,60.0,41.0,22.0,40.0,8.0,0.0,20.0,44.33]",49.0
"[22.0,60.0,49.0,21.0,46.0,2.0,1.0,14.0,49.0]",51.0
"[22.0,60.0,137.0,21.0,42.0,13.0,1.0,18.0,167.0]",150.0
"[22.0,61.0,17.0,21.0,70.0,-2.0,1.0,-9.0,15.0]",15.0
"[22.0,61.0,46.0,22.0,41.0,10.0,0.0,20.0,48.67]",56.0
"[22.0,61.0,51.0,28.0,36.0,-7.0,-6.0,25.0,52.33]",44.0
"[22.0,62.0,50.0,28.0,33.0,13.0,-6.0,29.0,53.0]",63.0
"[22.0,62.0,56.0,22.0,53.0,2.0,0.0,9.0,52.0]",58.0
"[22.0,62.0,100.25404591644713,31.0,80.0,0.0,-9.0,-18.0,100.25]",100.25404591644713
"[22.0,62.0,109.0,20.0,69.0,-5.0,2.0,-7.0,92.67]",104.0
"[22.0,62.0,133.0,24.0,43.0,-23.0,-2.0,19.0,139.0]",110.0
"[22.0,62.0,180.0,21.0,60.0,-30.0,1.0,2.0,176.33]",150.0
"[22.0,63.0,151.0,24.0,73.0,36.0,-2.0,-10.0,155.0]",187.0
"[22.0,63.0,323.0,27.0,80.0,-9.0,-5.0,-17.0,335.33]",314.0
"[22.0,64.0,31.0,34.0,63.0,-5.0,-12.0,1.0,31.33]",26.0
"[22.0,64.0,35.0,22.0,53.0,-14.0,0.0,11.0,46.0]",21.0
"[22.0,64.0,67.0,22.0,69.0,-11.0,0.0,-5.0,56.33]",56.0
"[22.0,64.0,75.0,32.0,58.0,14.0,-10.0,6.0,71.0]",89.0
"[22.0,64.0,149.0,32.0,61.0,9.0,-10.0,3.0,149.67]",158.0
"[22.0,64.0,183.0,20.0,33.0,-15.0,2.0,31.0,176.0]",168.0
"[22.0,65.0,70.0,23.0,75.0,10.0,-1.0,-10.0,69.0]",80.0
"[22.0,65.0,123.0,22.0,43.0,-5.0,0.0,22.0,117.67]",118.0
"[22.0,67.0,59.0,23.0,47.0,47.0,-1.0,20.0,74.67]",106.0
"[22.0,67.0,60.0,20.0,37.0,2.0,2.0,30.0,65.67]",62.0
"[22.0,67.0,61.0,35.0,35.0,15.0,-13.0,32.0,64.67]",76.0
"[22.0,67.0,88.0,30.0,53.0,3.0,-8.0,14.0,86.33]",91.0
"[22.0,67.0,142.0,32.0,30.0,-40.0,-10.0,37.0,109.33]",102.0
"[22.0,68.0,60.0,25.0,66.0,-4.0,-3.0,2.0,61.33]",56.0
"[22.0,68.0,220.0,23.0,38.0,26.0,-1.0,30.0,225.33]",246.0
"[22.0,69.0,61.0,33.0,58.0,22.0,-11.0,11.0,68.67]",83.0
"[22.0,69.0,87.0,34.0,77.0,-35.0,-12.0,-8.0,67.33]",52.0
"[22.0,69.0,100.0,33.0,77.0,-12.0,-11.0,-8.0,92.0]",88.0
"[22.0,69.0,122.0,28.0,51.0,-15.0,-6.0,18.0,106.0]",107.0
"[22.0,70.0,56.0,22.0,52.0,11.0,0.0,18.0,53.0]",67.0
"[22.0,70.0,100.25404591644713,27.0,54.0,95.74595408355287,-5.0,16.0,169.08]",196.0
"[22.0,71.0,69.0,25.0,51.0,3.0,-3.0,20.0,84.0]",72.0
"[22.0,72.0,96.0,31.0,34.0,-25.0,-9.0,38.0,89.0]",71.0
"[22.0,72.0,238.0,27.0,42.0,4.0,-5.0,30.0,235.0]",242.0
"[22.0,73.0,56.0,28.0,39.0,-1.0,-6.0,34.0,57.33]",55.0
"[22.0,73.0,59.0,25.0,47.0,5.0,-3.0,26.0,61.33]",64.0
"[22.0,73.0,76.0,30.0,64.0,33.0,-8.0,9.0,85.33]",109.0
"[22.0,73.0,84.0,32.0,45.0,-6.0,-10.0,28.0,79.33]",78.0
"[22.0,73.0,88.0,20.0,76.0,-20.0,2.0,-3.0,82.33]",68.0
"[22.0,74.0,17.0,27.0,64.0,-1.0,-5.0,10.0,17.67]",16.0
"[22.0,74.0,64.0,25.0,71.0,8.0,-3.0,3.0,65.67]",72.0
"[22.0,74.0,174.0,27.0,76.0,21.0,-5.0,-2.0,179.33]",195.0
"[22.0,75.0,116.0,34.0,57.0,-20.0,-12.0,18.0,107.67]",96.0
"[22.0,76.0,69.0,35.0,31.0,-4.0,-13.0,45.0,59.0]",65.0
"[22.0,77.0,52.0,27.0,78.0,-17.0,-5.0,-1.0,56.67]",35.0
"[22.0,78.0,19.0,33.0,47.0,3.0,-11.0,31.0,19.33]",22.0
"[22.0,78.0,34.0,27.0,50.0,-4.0,-5.0,28.0,32.33]",30.0
"[22.0,78.0,41.0,20.0,78.0,9.0,2.0,0.0,41.33]",50.0
"[22.0,78.0,56.0,20.0,57.0,22.0,2.0,21.0,61.67]",78.0
"[22.0,79.0,70.0,27.0,45.0,-20.0,-5.0,34.0,70.67]",50.0
"[22.0,80.0,30.0,24.0,37.0,0.0,-2.0,43.0,32.0]",30.0
"[22.0,80.0,51.0,32.0,43.0,27.0,-10.0,37.0,57.33]",78.0
"[22.0,80.0,94.0,28.0,69.0,40.0,-6.0,11.0,149.0]",134.0
"[22.0,80.0,151.0,24.0,55.0,-29.0,-2.0,25.0,136.0]",122.0
"[23.0,30.0,13.0,21.0,47.0,16.0,2.0,-17.0,23.67]",29.0
"[23.0,30.0,40.0,35.0,59.0,5.0,-12.0,-29.0,40.33]",45.0
"[23.0,30.0,82.0,25.0,50.0,16.0,-2.0,-20.0,80.67]",98.0
"[23.0,31.0,107.0,21.0,54.0,15.0,2.0,-23.0,121.33]",122.0
"[23.0,32.0,50.0,26.0,70.0,24.0,-3.0,-38.0,59.0]",74.0
"[23.0,33.0,56.0,24.0,44.0,-5.0,-1.0,-11.0,58.33]",51.0
"[23.0,33.0,118.0,35.0,58.0,-17.745954083552874,-12.0,-25.0,111.42]",100.25404591644713
"[23.0,33.0,138.0,27.0,46.0,-17.0,-4.0,-13.0,136.33]",121.0
"[23.0,33.0,163.0,35.0,64.0,-5.0,-12.0,-31.0,173.67]",158.0
"[23.0,33.0,349.0,29.0,44.0,82.0,-6.0,-11.0,346.0]",431.0
"[23.0,34.0,56.0,27.0,69.0,6.0,-4.0,-35.0,55.33]",62.0
"[23.0,35.0,88.0,22.0,69.0,4.0,1.0,-34.0,93.33]",92.0
"[23.0,35.0,97.0,33.0,67.0,-28.0,-10.0,-32.0,92.33]",69.0
"[23.0,35.0,153.0,25.0,32.0,-7.0,-2.0,3.0,154.67]",146.0
"[23.0,37.0,74.0,29.0,58.0,1.0,-6.0,-21.0,70.33]",75.0
"[23.0,37.0,77.0,34.0,71.0,27.0,-11.0,-34.0,85.67]",104.0
"[23.0,37.0,90.0,29.0,64.0,3.0,-6.0,-27.0,89.67]",93.0
"[23.0,37.0,100.25404591644713,32.0,64.0,0.0,-9.0,-27.0,100.25]",100.25404591644713
"[23.0,37.0,100.25404591644713,34.0,56.0,0.0,-11.0,-19.0,100.25]",100.25404591644713
"[23.0,37.0,197.0,27.0,45.0,-33.0,-4.0,-8.0,189.0]",164.0
"[23.0,38.0,210.0,35.0,33.0,10.0,-12.0,5.0,218.33]",220.0
"[23.0,39.0,60.0,29.0,32.0,2.0,-6.0,7.0,59.33]",62.0
"[23.0,39.0,115.0,24.0,55.0,32.0,-1.0,-16.0,124.0]",147.0
"[23.0,40.0,8.0,25.0,79.0,92.0,-2.0,-39.0,81.33]",100.0
"[23.0,41.0,23.0,32.0,41.0,11.0,-9.0,0.0,23.67]",34.0
"[23.0,41.0,31.0,27.0,52.0,-7.0,-4.0,-11.0,29.33]",24.0
"[23.0,41.0,54.0,25.0,66.0,-10.0,-2.0,-25.0,47.33]",44.0
"[23.0,41.0,58.0,29.0,53.0,10.0,-6.0,-12.0,62.67]",68.0
"[23.0,41.0,86.0,33.0,37.0,25.0,-10.0,4.0,89.67]",111.0
"[23.0,41.0,182.0,31.0,50.0,10.0,-8.0,-9.0,187.0]",192.0
"[23.0,42.0,189.0,31.0,77.0,58.0,-8.0,-35.0,196.0]",247.0
"[23.0,43.0,127.0,24.0,44.0,-8.0,-1.0,-1.0,127.0]",119.0
"[23.0,44.0,146.0,30.0,74.0,-35.0,-7.0,-30.0,153.0]",111.0
"[23.0,45.0,148.0,24.0,37.0,17.0,-1.0,8.0,138.33]",165.0
"[23.0,45.0,219.0,29.0,79.0,-118.74595408355287,-6.0,-34.0,191.08]",100.25404591644713
"[23.0,46.0,52.0,30.0,61.0,7.0,-7.0,-15.0,56.33]",59.0
"[23.0,46.0,225.0,35.0,31.0,95.0,-12.0,15.0,273.33]",320.0
"[23.0,46.0,301.0,32.0,33.0,-13.0,-9.0,13.0,313.67]",288.0
"[23.0,47.0,35.0,27.0,75.0,-3.0,-4.0,-28.0,36.33]",32.0
"[23.0,47.0,59.0,30.0,45.0,0.0,-7.0,2.0,60.0]",59.0
"[23.0,47.0,70.0,28.0,73.0,11.0,-5.0,-26.0,71.67]",81.0
"[23.0,47.0,88.0,27.0,76.0,9.0,-4.0,-29.0,93.67]",97.0
"[23.0,48.0,50.0,34.0,44.0,8.0,-11.0,4.0,52.0]",58.0
"[23.0,48.0,96.0,22.0,75.0,10.0,1.0,-27.0,106.0]",106.0
"[23.0,48.0,100.25404591644713,23.0,45.0,0.0,0.0,3.0,139.84]",100.25404591644713
"[23.0,48.0,101.0,27.0,31.0,8.0,-4.0,17.0,99.0]",109.0
"[23.0,48.0,130.0,27.0,76.0,-5.0,-4.0,-28.0,132.33]",125.0
"[23.0,49.0,225.0,21.0,49.0,7.0,2.0,0.0,226.33]",232.0
"[23.0,51.0,157.0,28.0,57.0,8.0,-5.0,-6.0,153.33]",165.0
"[23.0,51.0,186.0,21.0,73.0,2.0,2.0,-22.0,191.33]",188.0
"[23.0,53.0,34.0,29.0,37.0,-1.0,-6.0,16.0,35.67]",33.0
"[23.0,53.0,36.0,27.0,64.0,-1.0,-4.0,-11.0,39.33]",35.0
"[23.0,53.0,41.0,22.0,40.0,-2.0,1.0,13.0,43.67]",39.0
"[23.0,53.0,62.0,24.0,70.0,1.0,-1.0,-17.0,60.33]",63.0
"[23.0,54.0,55.0,34.0,37.0,-2.0,-11.0,17.0,56.0]",53.0
"[23.0,54.0,82.0,27.0,65.0,-13.0,-4.0,-11.0,78.0]",69.0
"[23.0,54.0,98.0,25.0,64.0,-23.0,-2.0,-10.0,87.0]",75.0
"[23.0,54.0,115.0,21.0,53.0,-19.0,2.0,1.0,108.0]",96.0
"[23.0,54.0,155.0,32.0,39.0,26.0,-9.0,15.0,164.0]",181.0
"[23.0,55.0,55.0,26.0,42.0,10.0,-3.0,13.0,54.67]",65.0
"[23.0,55.0,208.0,27.0,62.0,2.0,-4.0,-7.0,209.33]",210.0
"[23.0,56.0,99.0,33.0,45.0,9.0,-10.0,11.0,97.67]",108.0
"[23.0,57.0,48.0,30.0,51.0,18.0,-7.0,6.0,57.67]",66.0
"[23.0,57.0,50.0,20.0,37.0,8.0,3.0,20.0,52.0]",58.0
"[23.0,57.0,57.0,27.0,70.0,-4.0,-4.0,-13.0,61.33]",53.0
"[23.0,57.0,74.0,34.0,39.0,15.0,-11.0,18.0,80.33]",89.0
"[23.0,57.0,122.0,32.0,65.0,-4.0,-9.0,-8.0,123.0]",118.0
"[23.0,58.0,53.0,28.0,57.0,-4.0,-5.0,1.0,43.33]",49.0
"[23.0,58.0,94.0,21.0,39.0,14.0,2.0,19.0,97.33]",108.0
"[23.0,59.0,117.0,26.0,51.0,-21.0,-3.0,8.0,109.33]",96.0
"[23.0,61.0,58.0,22.0,62.0,45.0,1.0,-1.0,72.33]",103.0
"[23.0,61.0,125.0,29.0,62.0,29.0,-6.0,-1.0,133.33]",154.0
"[23.0,62.0,51.0,27.0,56.0,49.254045916447126,-4.0,6.0,63.08]",100.25404591644713
"[23.0,62.0,67.0,32.0,38.0,-10.0,-9.0,24.0,67.33]",57.0
"[23.0,62.0,123.0,26.0,78.0,6.0,-3.0,-16.0,117.33]",129.0
"[23.0,62.0,174.0,21.0,34.0,3.0,2.0,28.0,172.0]",177.0
"[23.0,62.0,190.0,22.0,33.0,-81.0,1.0,29.0,182.33]",109.0
"[23.0,62.0,235.0,20.0,41.0,1.0,3.0,21.0,234.33]",236.0
"[23.0,63.0,27.0,32.0,66.0,-3.0,-9.0,-3.0,33.0]",24.0
"[23.0,63.0,86.0,33.0,59.0,2.0,-10.0,4.0,87.33]",88.0
"[23.0,64.0,80.0,28.0,54.0,-6.0,-5.0,10.0,80.67]",74.0
"[23.0,65.0,100.25404591644713,26.0,36.0,0.0,-3.0,29.0,100.25]",100.25404591644713
"[23.0,65.0,167.0,22.0,50.0,-5.0,1.0,15.0,162.33]",162.0
"[23.0,66.0,28.0,30.0,72.0,48.0,-7.0,-6.0,43.67]",76.0
"[23.0,66.0,100.25404591644713,25.0,51.0,0.0,-2.0,15.0,118.17]",100.25404591644713
"[23.0,66.0,177.0,32.0,49.0,7.0,-9.0,17.0,162.33]",184.0
"[23.0,67.0,28.0,20.0,55.0,-2.0,3.0,12.0,30.0]",26.0
"[23.0,67.0,69.0,31.0,56.0,-9.0,-8.0,11.0,83.33]",60.0
"[23.0,67.0,82.0,34.0,79.0,22.0,-11.0,-12.0,83.67]",104.0
"[23.0,67.0,311.0,31.0,53.0,-1.0,-8.0,14.0,299.33]",310.0
"[23.0,68.0,13.0,31.0,33.0,9.0,-8.0,35.0,17.33]",22.0
"[23.0,68.0,56.0,29.0,36.0,-23.0,-6.0,32.0,57.67]",33.0
"[23.0,68.0,65.0,26.0,58.0,5.0,-3.0,10.0,69.67]",70.0
"[23.0,68.0,78.0,24.0,50.0,-6.0,-1.0,18.0,74.33]",72.0
"[23.0,68.0,247.0,23.0,42.0,9.0,0.0,26.0,230.67]",256.0
"[23.0,69.0,100.25404591644713,30.0,50.0,0.0,-7.0,19.0,100.25]",100.25404591644713
"[23.0,69.0,101.0,34.0,63.0,2.0,-11.0,6.0,106.67]",103.0
"[23.0,70.0,60.0,35.0,35.0,0.0,-12.0,35.0,60.0]",60.0
"[23.0,70.0,156.0,26.0,57.0,-3.0,-3.0,13.0,148.0]",153.0
"[23.0,71.0,90.0,22.0,33.0,11.0,1.0,38.0,99.33]",101.0
"[23.0,71.0,244.0,27.0,73.0,-70.0,-4.0,-2.0,209.67]",174.0
"[23.0,72.0,119.0,31.0,74.0,10.0,-8.0,-2.0,118.0]",129.0
"[23.0,72.0,121.0,27.0,44.0,-4.0,-4.0,28.0,120.33]",117.0
"[23.0,72.0,134.0,29.0,39.0,16.0,-6.0,33.0,141.33]",150.0
"[23.0,74.0,31.0,23.0,45.0,-2.0,0.0,29.0,28.67]",29.0
"[23.0,74.0,91.0,27.0,72.0,-22.0,-4.0,2.0,88.0]",69.0
"[23.0,75.0,49.0,30.0,41.0,12.0,-7.0,34.0,49.67]",61.0
"[23.0,75.0,57.0,33.0,63.0,13.0,-10.0,12.0,65.67]",70.0
"[23.0,75.0,82.0,32.0,58.0,-16.0,-9.0,17.0,71.0]",66.0
"[23.0,78.0,61.0,35.0,36.0,0.0,-12.0,42.0,60.33]",61.0
"[23.0,78.0,78.0,24.0,70.0,7.0,-1.0,8.0,80.0]",85.0
"[23.0,78.0,92.0,33.0,56.0,-29.0,-10.0,22.0,70.33]",63.0
"[23.0,78.0,100.25404591644713,30.0,74.0,0.0,-7.0,4.0,100.25]",100.25404591644713
"[23.0,78.0,164.0,28.0,69.0,-41.0,-5.0,9.0,145.33]",123.0
"[23.0,78.0,173.0,29.0,77.0,0.0,-6.0,1.0,168.0]",173.0
"[23.0,78.0,431.0,23.0,33.0,-49.0,0.0,45.0,387.33]",382.0
"[23.0,79.0,22.0,22.0,53.0,6.0,1.0,26.0,25.33]",28.0
"[23.0,79.0,41.0,30.0,61.0,7.0,-7.0,18.0,43.0]",48.0
"[23.0,79.0,53.0,27.0,42.0,14.0,-4.0,37.0,56.33]",67.0
"[23.0,79.0,69.0,26.0,53.0,-6.0,-3.0,26.0,69.33]",63.0
"[23.0,79.0,75.0,29.0,60.0,5.0,-6.0,19.0,79.0]",80.0
"[23.0,79.0,160.0,30.0,75.0,0.0,-7.0,4.0,165.33]",160.0
"[23.0,80.0,20.0,32.0,71.0,3.0,-9.0,9.0,22.0]",23.0
"[23.0,80.0,174.0,35.0,41.0,-7.0,-12.0,39.0,174.67]",167.0
"[23.0,80.0,278.0,26.0,44.0,-70.0,-3.0,36.0,272.0]",208.0
"[24.0,31.0,59.0,25.0,78.0,20.0,-1.0,-47.0,56.0]",79.0
"[24.0,32.0,61.0,25.0,69.0,1.0,-1.0,-37.0,70.33]",62.0
"[24.0,32.0,75.0,23.0,37.0,2.0,1.0,-5.0,75.33]",77.0
"[24.0,32.0,211.0,34.0,41.0,-41.0,-10.0,-9.0,225.67]",170.0
"[24.0,33.0,53.0,21.0,56.0,12.0,3.0,-23.0,51.33]",65.0
"[24.0,34.0,70.0,20.0,62.0,-2.0,4.0,-28.0,64.67]",68.0
"[24.0,35.0,57.0,25.0,74.0,-11.0,-1.0,-39.0,47.33]",46.0
"[24.0,35.0,381.0,31.0,32.0,-19.0,-7.0,3.0,348.0]",362.0
"[24.0,36.0,24.0,27.0,36.0,5.0,-3.0,0.0,27.0]",29.0
"[24.0,36.0,100.25404591644713,21.0,32.0,-1.2540459164471258,3.0,4.0,99.84]",99.0
"[24.0,37.0,36.0,24.0,51.0,-6.0,0.0,-14.0,31.0]",30.0
"[24.0,37.0,49.0,31.0,44.0,-16.0,-7.0,-7.0,51.33]",33.0
"[24.0,37.0,102.0,31.0,41.0,46.0,-7.0,-4.0,117.0]",148.0
"[24.0,37.0,320.0,23.0,46.0,-101.0,1.0,-9.0,254.67]",219.0
"[24.0,38.0,46.0,35.0,55.0,-9.0,-11.0,-17.0,44.0]",37.0
"[24.0,38.0,68.0,26.0,73.0,5.0,-2.0,-35.0,64.67]",73.0
"[24.0,39.0,117.0,27.0,49.0,12.0,-3.0,-10.0,110.67]",129.0
"[24.0,39.0,183.0,31.0,49.0,-22.0,-7.0,-10.0,178.67]",161.0
"[24.0,39.0,262.0,20.0,36.0,46.0,4.0,3.0,262.33]",308.0
"[24.0,40.0,44.0,20.0,73.0,11.0,4.0,-33.0,45.67]",55.0
"[24.0,40.0,94.0,29.0,46.0,-3.0,-5.0,-6.0,94.33]",91.0
"[24.0,40.0,175.0,35.0,71.0,-59.0,-11.0,-31.0,151.67]",116.0
"[24.0,41.0,45.0,29.0,34.0,-1.0,-5.0,7.0,47.67]",44.0
"[24.0,41.0,56.0,29.0,51.0,-8.0,-5.0,-10.0,59.0]",48.0
"[24.0,42.0,55.0,22.0,61.0,9.0,2.0,-19.0,59.0]",64.0
"[24.0,42.0,63.0,23.0,78.0,-28.0,1.0,-36.0,63.33]",35.0
"[24.0,42.0,82.0,34.0,78.0,-4.0,-10.0,-36.0,81.0]",78.0
"[24.0,43.0,110.0,32.0,32.0,-1.0,-8.0,11.0,103.33]",109.0
"[24.0,43.0,143.0,20.0,43.0,-18.0,4.0,0.0,140.33]",125.0
"[24.0,43.0,174.0,23.0,71.0,-41.0,1.0,-28.0,183.67]",133.0
"[24.0,44.0,25.0,20.0,49.0,-10.0,4.0,-5.0,49.67]",15.0
"[24.0,44.0,68.0,34.0,48.0,-12.0,-10.0,-4.0,58.67]",56.0
"[24.0,44.0,100.25404591644713,32.0,80.0,0.0,-8.0,-36.0,100.25]",100.25404591644713
"[24.0,44.0,135.0,34.0,48.0,-8.0,-10.0,-4.0,142.67]",127.0
"[24.0,45.0,158.0,28.0,80.0,-5.0,-4.0,-35.0,154.67]",153.0
